BranchesFrom,Vessel,VesselType,VesselSubType,BodyPart,BodySubPart,PortalSystem,FTU,Sex,Anastomoses,ArteryVeinConnects,ArteryVeinPair,ForBranchesSee,VirtualVessel,BranchSequence,SpatialReferenceObjectFemale,SpatialReferenceObjectMale,CoordX,CoordY,ReferenceURL,Reference,ReferenceDOI,VesselTypeID,VesselSubTypeID,BodyPartID,BodySubPartID,FTULabel,FTUID,UBERON,FMA,UBERONLabel,FMALabel,ASLabel,ASID,OtherUberonFmaNameList,TerminologiaAnatomica,OtherVesselNameList,VesselBaseName,FullVesselNameList,HasBranches,VirtualVesselOfList,VirtualVesselOfCount,VirtualInstances,VirtualPath,PathFromHeart,PathFromHeartWithIDs
subclavian artery,thyrocervical trunk,artery,,neck,,,,,,,,,0,2,,,50,100,https://en.wikipedia.org/wiki/Thyrocervical_trunk,https://en.wikipedia.org/wiki/Thyrocervical_trunk,,UBERON:0001637,,UBERON:0000974,,,,,fma3990,,Thyrocervical trunk,Thyrocervical trunk,fma3990,Trunk of thyrocervical artery,Thyrocervical trunk,,thyrocervical trunk,thyrocervical trunk;Trunk of thyrocervical artery,1,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990
thyrocervical trunk,inferior thyroid artery,artery,,thyroid gland,,,,,,,inferior thyroid vein,,0,2,,,,,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,,UBERON:0001637,,UBERON:0002046,,,,UBERON:0007149,fma10662,inferior thyroid artery,Inferior thyroid artery,inferior thyroid artery,UBERON:0007149,,Inferior thyroid artery,,inferior thyroid artery,inferior thyroid artery,1,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149
inferior thyroid artery,ascending cervical artery,artery,,neck,,,,,,,,,0,1,,,,,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,,UBERON:0001637,,UBERON:0000974,,,,UBERON:0012322,fma52489,ascending cervical artery,Ascending cervical artery,ascending cervical artery,UBERON:0012322,,Ascending cervical artery,,ascending cervical artery,ascending cervical artery,1,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;ascending cervical artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;ascending cervical artery;ascending cervical artery;UBERON:0012322
ascending cervical artery,segmental spinal artery,artery,,spinal cord,,,,,,,,,0,1,,,,,https://www.kenhub.com/en/library/anatomy/blood-supply-of-the-spinal-cord,https://www.kenhub.com/en/library/anatomy/blood-supply-of-the-spinal-cord,,UBERON:0001637,,UBERON:0002240,,,,,,,,,,,,,segmental spinal artery,segmental spinal artery,1,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;ascending cervical artery;segmental spinal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;ascending cervical artery;ascending cervical artery;UBERON:0012322;segmental spinal artery;;
segmental spinal artery,anterior radicular artery,artery,,spinal cord,,,,,,,anterior radicular vein,,0,999,,,,,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,,UBERON:0001637,,UBERON:0002240,,,,,fma4183,,Anterior radicular branch of posterior intercostal artery,Anterior radicular branch of posterior intercostal artery,fma4183,Anterior radicular artery;Artery of Adamkiewicz,Anterior radicular artery,,anterior radicular artery,anterior radicular artery;Anterior radicular branch of posterior intercostal artery;Artery of Adamkiewicz,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;ascending cervical artery;segmental spinal artery;anterior radicular artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;ascending cervical artery;ascending cervical artery;UBERON:0012322;segmental spinal artery;;;anterior radicular artery;Anterior radicular branch of posterior intercostal artery;fma4183
segmental spinal artery,anterior segmental medullary artery,artery,,spinal cord,,,,,anterior spinal artery,,,,0,999,,,,,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,,UBERON:0001637,,UBERON:0002240,,,,,,,,,,,,,anterior segmental medullary artery,anterior segmental medullary artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;ascending cervical artery;segmental spinal artery;anterior segmental medullary artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;ascending cervical artery;ascending cervical artery;UBERON:0012322;segmental spinal artery;;;anterior segmental medullary artery;;
segmental spinal artery,artery of Adamkiewicz,artery,,spinal cord,,,,,anterior spinal artery,,,,0,999,,,,,https://en.wikipedia.org/wiki/Artery_of_Adamkiewicz,https://en.wikipedia.org/wiki/Artery_of_Adamkiewicz,,UBERON:0001637,,UBERON:0002240,,,,,fma4183,,Anterior radicular branch of posterior intercostal artery,Anterior radicular branch of posterior intercostal artery,fma4183,Anterior radicular artery;Artery of Adamkiewicz,,,artery of Adamkiewicz,Anterior radicular artery;Anterior radicular branch of posterior intercostal artery;artery of Adamkiewicz,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;ascending cervical artery;segmental spinal artery;artery of Adamkiewicz,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;ascending cervical artery;ascending cervical artery;UBERON:0012322;segmental spinal artery;;;artery of Adamkiewicz;Anterior radicular branch of posterior intercostal artery;fma4183
segmental spinal artery,posterior radicular artery,artery,,spinal cord,,,,,,,posterior radicular vein,,0,999,,,,,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,,UBERON:0001637,,UBERON:0002240,,,,,fma4184,,Posterior radicular branch of posterior intercostal artery,Posterior radicular branch of posterior intercostal artery,fma4184,Posterior radicular artery,Posterior radicular artery,,posterior radicular artery,posterior radicular artery;Posterior radicular branch of posterior intercostal artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;ascending cervical artery;segmental spinal artery;posterior radicular artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;ascending cervical artery;ascending cervical artery;UBERON:0012322;segmental spinal artery;;;posterior radicular artery;Posterior radicular branch of posterior intercostal artery;fma4184
segmental spinal artery,posterior segmental medullary artery,artery,,spinal cord,,,,,posterior spinal artery,,,,0,999,,,,,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/,,UBERON:0001637,,UBERON:0002240,,,,,,,,,,,,,posterior segmental medullary artery,posterior segmental medullary artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;ascending cervical artery;segmental spinal artery;posterior segmental medullary artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;ascending cervical artery;ascending cervical artery;UBERON:0012322;segmental spinal artery;;;posterior segmental medullary artery;;
inferior thyroid artery,inferior laryngeal artery,artery,,neck,,,,,,,inferior laryngeal vein,,0,2,,,,,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,,UBERON:0001637,,UBERON:0000974,,,,,fma52492,,Inferior laryngeal artery,Inferior laryngeal artery,fma52492,,Inferior laryngeal artery,,inferior laryngeal artery,inferior laryngeal artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;inferior laryngeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;inferior laryngeal artery;Inferior laryngeal artery;fma52492
inferior thyroid artery,pharyngeal branches of inferior thyroid artery,artery,,neck,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,,UBERON:0001637,,UBERON:0000974,,,,,fma71523,,Set of pharyngeal branches of inferior thyroid artery,Set of pharyngeal branches of inferior thyroid artery,fma71523,Pharyngeal branches of inferior thyroid artery,Pharyngeal branches of inferior thyroid artery,,pharyngeal branches of inferior thyroid artery,pharyngeal branches of inferior thyroid artery;Set of pharyngeal branches of inferior thyroid artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;pharyngeal branches of inferior thyroid artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;pharyngeal branches of inferior thyroid artery;Set of pharyngeal branches of inferior thyroid artery;fma71523
inferior thyroid artery,tracheal branches of inferior thyroid artery,artery,,neck,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,https://en.wikipedia.org/wiki/Inferior_thyroid_artery,,UBERON:0001637,,UBERON:0000974,,,,,fma71525,,Set of tracheal branches of inferior thyroid artery,Set of tracheal branches of inferior thyroid artery,fma71525,Tracheal branches of inferior thyroid artery,Tracheal branches of inferior thyroid artery,,tracheal branches of inferior thyroid artery,Set of tracheal branches of inferior thyroid artery;tracheal branches of inferior thyroid artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;inferior thyroid artery;tracheal branches of inferior thyroid artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;inferior thyroid artery;inferior thyroid artery;UBERON:0007149;tracheal branches of inferior thyroid artery;Set of tracheal branches of inferior thyroid artery;fma71525
thyrocervical trunk,suprascapular artery,artery,,neck,,,,,,,suprascapular vein,,0,999,,,,,https://en.wikipedia.org/wiki/Suprascapular_artery,https://en.wikipedia.org/wiki/Suprascapular_artery,,UBERON:0001637,,UBERON:0000974,,,,,fma10663,,Suprascapular artery,Suprascapular artery,fma10663,Transverse scapular artery,Suprascapular artery,,suprascapular artery,suprascapular artery;Transverse scapular artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;suprascapular artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;suprascapular artery;Suprascapular artery;fma10663
thyrocervical trunk,transverse cervical artery,artery,,neck,,,,,,,transverse cervical vein,,0,1,,,,,https://en.wikipedia.org/wiki/Transverse_cervical_artery,https://en.wikipedia.org/wiki/Transverse_cervical_artery,,UBERON:0001637,,UBERON:0000974,,,,UBERON:0012324,fma10664,transverse cervical artery,Transverse cervical artery,transverse cervical artery,UBERON:0012324,,Transverse cervical artery,,transverse cervical artery,transverse cervical artery,1,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;transverse cervical artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;transverse cervical artery;transverse cervical artery;UBERON:0012324
transverse cervical artery,deep branch of transverse cervical artery,artery,,neck,,,,,,,,,0,1,,,,,https://en.wikipedia.org/wiki/Transverse_cervical_artery,https://en.wikipedia.org/wiki/Transverse_cervical_artery,,UBERON:0001637,,UBERON:0000974,,,,,fma79658,,Dorsal scapular artery,Dorsal scapular artery,fma79658,Deep branch of transverse cervical artery,Dorsal scapular artery,,deep branch of transverse cervical artery,deep branch of transverse cervical artery;Dorsal scapular artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;transverse cervical artery;deep branch of transverse cervical artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;transverse cervical artery;transverse cervical artery;UBERON:0012324;deep branch of transverse cervical artery;Dorsal scapular artery;fma79658
transverse cervical artery,superficial cervical artery,artery,,neck,,,,,,,,,0,2,,,,,https://radiopaedia.org/articles/transverse-cervical-artery,https://radiopaedia.org/articles/transverse-cervical-artery,,UBERON:0001637,,UBERON:0000974,,,,UBERON:0001071,fma10665,superficial cervical artery,Superficial cervical artery,superficial cervical artery,UBERON:0001071,superficial branch of transverse cervical artery,Superficial branch of transverse cervical artery,,superficial cervical artery,Superficial branch of transverse cervical artery;superficial cervical artery,0,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;thyrocervical trunk;transverse cervical artery;superficial cervical artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;thyrocervical trunk;Thyrocervical trunk;fma3990;transverse cervical artery;transverse cervical artery;UBERON:0012324;superficial cervical artery;superficial cervical artery;UBERON:0001071
subclavian artery,vertebral artery,artery,,spinal cord,,,,,,,vertebral vein,,0,1,,,45,110,https://en.wikipedia.org/wiki/Vertebral_artery,https://en.wikipedia.org/wiki/Vertebral_artery,,UBERON:0001637,,UBERON:0002240,,,,UBERON:0001535,fma3956,vertebral artery,Vertebral artery,vertebral artery,UBERON:0001535,,Vertebral artery,,vertebral artery,vertebral artery,1,,0,2,left subclavian artery;right subclavian artery,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535
vertebral artery,anterior spinal artery,artery,,spinal cord,,,,,,,anterior spinal vein,,-1,1,,,,,https://en.wikipedia.org/wiki/Anterior_spinal_artery,https://en.wikipedia.org/wiki/Anterior_spinal_artery,,UBERON:0001637,,UBERON:0002240,,,,UBERON:0005431,fma50531,anterior spinal artery,Anterior spinal artery,anterior spinal artery,UBERON:0005431,anterior medial spinal artery;ventral spinal artery,Anterior spinal artery,,anterior spinal artery,anterior medial spinal artery;anterior spinal artery;ventral spinal artery,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;anterior spinal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;anterior spinal artery;anterior spinal artery;UBERON:0005431
anterior spinal artery,sulcal artery,artery,,spinal cord,,,,,,,,,0,1,,,,,https://radiopaedia.org/articles/sulcal-artery?lang=us,https://radiopaedia.org/articles/sulcal-artery?lang=us,,UBERON:0001637,,UBERON:0002240,,,,,,,,,,,,,sulcal artery,sulcal artery,0,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;anterior spinal artery;sulcal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;anterior spinal artery;anterior spinal artery;UBERON:0005431;sulcal artery;;
vertebral artery,basilar artery,artery,,brainstem,,,,,,,,,-1,4,,,,,https://en.wikipedia.org/wiki/Basilar_artery,https://en.wikipedia.org/wiki/Basilar_artery,,UBERON:0001637,,UBERON:0002298,,,,UBERON:0001633,fma50542,basilar artery,Basilar artery,basilar artery,UBERON:0001633,,Basilar artery,,basilar artery,basilar artery,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633
basilar artery,anterior inferior cerebellar artery,artery,,cerebellum,,,,,,,,,0,1,,,,,https://en.wikipedia.org/wiki/Anterior_inferior_cerebellar_artery,https://en.wikipedia.org/wiki/Anterior_inferior_cerebellar_artery,,UBERON:0001637,,UBERON:0002037,,,,UBERON:0009689,fma50544,anterior inferior cerebellar artery,Anterior inferior cerebellar artery,anterior inferior cerebellar artery,UBERON:0009689,,Anterior inferior cerebellar artery,,anterior inferior cerebellar artery,anterior inferior cerebellar artery,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery;anterior inferior cerebellar artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633;anterior inferior cerebellar artery;anterior inferior cerebellar artery;UBERON:0009689
anterior inferior cerebellar artery,labyrinthine artery,artery,,brainstem,,,,,,,,,0,1,,,,,https://en.wikipedia.org/wiki/Labyrinthine_artery,https://en.wikipedia.org/wiki/Labyrinthine_artery,,UBERON:0001637,,UBERON:0002298,,,,UBERON:0018231,fma50548,labyrinthine artery,Labyrinthine artery,labyrinthine artery,UBERON:0018231,arteria auditiva interna;arteria labyrinthi;Artery of inner ear;internal auditory artery,Labyrinthine artery,,labyrinthine artery,arteria auditiva interna;arteria labyrinthi;Artery of inner ear;internal auditory artery;labyrinthine artery,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery;anterior inferior cerebellar artery;labyrinthine artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633;anterior inferior cerebellar artery;anterior inferior cerebellar artery;UBERON:0009689;labyrinthine artery;labyrinthine artery;UBERON:0018231
labyrinthine artery,anterior vestibular artery,artery,,ear,,,,,,,,,0,999,,,,,https://www.vestib.com/arterial-supply.html,https://www.vestib.com/arterial-supply.html,,UBERON:0001637,,UBERON:0001690,,,,,fma52239,,Anterior vestibular artery,Anterior vestibular artery,fma52239,Vestibular artery,Anterior vestibular artery,,anterior vestibular artery,anterior vestibular artery;Vestibular artery,0,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery;anterior inferior cerebellar artery;labyrinthine artery;anterior vestibular artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633;anterior inferior cerebellar artery;anterior inferior cerebellar artery;UBERON:0009689;labyrinthine artery;labyrinthine artery;UBERON:0018231;anterior vestibular artery;Anterior vestibular artery;fma52239
labyrinthine artery,common cochlear artery,artery,,ear,,,,,,,,,0,999,,,,,https://www.vestib.com/arterial-supply.html,https://www.vestib.com/arterial-supply.html,,UBERON:0001637,,UBERON:0001690,,,,,fma52242,,Common cochlear artery,Common cochlear artery,fma52242,,Common cochlear artery,,common cochlear artery,common cochlear artery,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery;anterior inferior cerebellar artery;labyrinthine artery;common cochlear artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633;anterior inferior cerebellar artery;anterior inferior cerebellar artery;UBERON:0009689;labyrinthine artery;labyrinthine artery;UBERON:0018231;common cochlear artery;Common cochlear artery;fma52242
common cochlear artery,main cochlear artery,artery,,ear,,,,,,,,,0,999,,,,,https://www.vestib.com/arterial-supply.html,https://www.vestib.com/arterial-supply.html,,UBERON:0001637,,UBERON:0001690,,,,,,,,,,,,,main cochlear artery,main cochlear artery,0,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery;anterior inferior cerebellar artery;labyrinthine artery;common cochlear artery;main cochlear artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633;anterior inferior cerebellar artery;anterior inferior cerebellar artery;UBERON:0009689;labyrinthine artery;labyrinthine artery;UBERON:0018231;common cochlear artery;Common cochlear artery;fma52242;main cochlear artery;;
common cochlear artery,posterior vestibular artery,artery,,ear,,,,,,,,,0,999,,,,,https://www.vestib.com/arterial-supply.html,https://www.vestib.com/arterial-supply.html,,UBERON:0001637,,UBERON:0001690,,,,,,,,,,,,,posterior vestibular artery,posterior vestibular artery,0,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery;anterior inferior cerebellar artery;labyrinthine artery;common cochlear artery;posterior vestibular artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633;anterior inferior cerebellar artery;anterior inferior cerebellar artery;UBERON:0009689;labyrinthine artery;labyrinthine artery;UBERON:0018231;common cochlear artery;Common cochlear artery;fma52242;posterior vestibular artery;;
common cochlear artery,spiral modiolar artery,artery,,ear,,,,,,,,,0,999,,,,,https://www.dizziness-and-balance.com/anatomy/ear/vascular.html,https://www.dizziness-and-balance.com/anatomy/ear/vascular.html,,UBERON:0001637,,UBERON:0001690,,,,UBERON:0002505,fma52312,spiral modiolar artery,Spiral modiolar artery,spiral modiolar artery,UBERON:0002505,,Spiral modiolar artery,,spiral modiolar artery,spiral modiolar artery,0,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;vertebral artery;basilar artery;anterior inferior cerebellar artery;labyrinthine artery;common cochlear artery;spiral modiolar artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;subclavian artery;subclavian artery;UBERON:0001533;vertebral artery;vertebral artery;UBERON:0001535;basilar artery;basilar artery;UBERON:0001633;anterior inferior cerebellar artery;anterior inferior cerebellar artery;UBERON:0009689;labyrinthine artery;labyrinthine artery;UBERON:0018231;common cochlear artery;Common cochlear artery;fma52242;spiral modiolar artery;spiral modiolar artery;UBERON:0002505
